Landmark,Road,Landmark_road,Lat,Lon
Chiromo Waiyaki,Waiyaki Way,Chiromo Waiyaki Waiyaki Way,-1.2708578,36.8072838
Chomazone,Mombasa Rd,Chomazone Mombasa Rd,-1.328486,36.882578
Chomazone,Thika Rd,Chomazone Thika Rd,-1.249838,36.861824
Chomazone,Mombasa Road,Chomazone Mombasa Road,-1.328486,36.882578
Chomazone,Msa Rd,Chomazone Msa Rd,-1.328486,36.882578
Chomazone,Msa Road,Chomazone Msa Road,-1.328486,36.882578
Chomazone,Thika Road,Chomazone Thika Road,-1.249838,36.861824
Chomazone,Thika Superhighway,Chomazone Thika Superhighway,-1.249838,36.861824
Chomazone,Thika Super Highway,Chomazone Thika Super Highway,-1.249838,36.861824
Chomazone,Thika Highway,Chomazone Thika Highway,-1.249838,36.861824
Chomazone,Thikard,Chomazone Thikard,-1.249838,36.861824
Chuka University,Meru Nairobi Highway,Chuka University Meru Nairobi Highway,-0.3173393,37.6594985
Chuka University,Meru Nairobi Road,Chuka University Meru Nairobi Road,-0.3173393,37.6594985
Chuka University,Meru Nairobi Rd,Chuka University Meru Nairobi Rd,-0.3173393,37.6594985
Chuka University,Nairobi Meru Highway,Chuka University Nairobi Meru Highway,-0.3173393,37.6594985
Chuka University,Nairobi Meru Road,Chuka University Nairobi Meru Road,-0.3173393,37.6594985
Chuka University,Nairobi Meru Rd,Chuka University Nairobi Meru Rd,-0.3173393,37.6594985
Church army,Jogoo Rd,Church army Jogoo Rd,-1.294646,36.853268
Church army,Jogoo Road,Church army Jogoo Road,-1.294646,36.853268
CID,Kiambu Rd,CID Kiambu Rd,-1.249806,36.846795
CID,Kiambu Road,CID Kiambu Road,-1.249806,36.846795
CID HQ,Kiambu Rd,CID HQ Kiambu Rd,-1.249806,36.846795
CID HQ,Kiambu Road,CID HQ Kiambu Road,-1.249806,36.846795
Cigma roundabout,Nakuru,Cigma roundabout Nakuru,-0.282323,36.074767
City Mortuary,Mbagathi Way,City Mortuary Mbagathi Way,-1.298708,36.802925
city stadium flyover,Lusaka Rd,city stadium flyover Lusaka Rd,-1.294992,36.840405
city stadium flyover,Lusaka Road,city stadium flyover Lusaka Road,-1.294992,36.840405
City Stadium Stage,Jogoo Rd,City Stadium Stage Jogoo Rd,-1.292187,36.842881
City Stadium Stage,Jogoo Road,City Stadium Stage Jogoo Road,-1.292187,36.842881
Civicon,Mombasa Rd,Civicon Mombasa Rd,-4.031455,39.6442055
Civicon,Mombasa Road,Civicon Mombasa Road,-4.031455,39.6442055
Civicon,Msa Rd,Civicon Msa Rd,-4.031455,39.6442055
Civicon,Msa Road,Civicon Msa Road,-4.031455,39.6442055
Civil Servant junction,Outer Ring Rd,Civil Servant junction Outer Ring Rd,-1.262242,36.879051
Civil Servant junction,Outer Ring Road,Civil Servant junction Outer Ring Road,-1.262242,36.879051
Civil Servant junction,Outer Ring Rd,Civil Servant junction Outer Ring Rd,-1.262242,36.879051
Civil Servant junction,Outering Road,Civil Servant junction Outering Road,-1.262242,36.879051
Clay Works,,Clay Works ,-1.209984,36.910167
Clay works foot bridge,,Clay works foot bridge ,-1.211044,36.907381
Clay works footbridge,,Clay works footbridge ,-1.211044,36.907381
Clayworks,,Clayworks ,-1.209984,36.910167
Clayworks foot bridge,,Clayworks foot bridge ,-1.211044,36.907381
Clayworks footbridge,,Clayworks footbridge ,-1.211044,36.907381
Coast General Hospital,Kisauni Rd,Coast General Hospital Kisauni Rd,-4.049109,39.674242
Coast General Hospital,Kisuani Road,Coast General Hospital Kisuani Road,-4.049109,39.674242
Community,Haile Selassie,Community Haile Selassie,-1.2932192,36.8180823
Community,Haile Sellassie,Community Haile Sellassie,-1.2932192,36.8180823
Consolata,Waiyaki Way,Consolata Waiyaki Way,-1.266608,36.80355
Cooperative,Waiyaki Way,Cooperative Waiyaki Way,-1.260893,36.71621
CUEA,Magadi Rd,CUEA Magadi Rd,-1.3519468,36.7629413
CUEA,Bogani Rd,CUEA Bogani Rd,-1.352585,36.757706
CUEA,Bogani Road,CUEA Bogani Road,-1.352585,36.757706
CUEA,Magadi Road,CUEA Magadi Road,-1.3519468,36.7629413
Dago corner,Ngong Rd,Dago corner Ngong Rd,-1.299088,36.761088
Dago corner,Ngong Road,Dago corner Ngong Road,-1.299088,36.761088
Dagoretti corner,Naivasha Rd,Dagoretti corner Naivasha Rd,-1.293505,36.753546
Dagoretti corner,Ngong Rd,Dagoretti corner Ngong Rd,-1.299088,36.761088
Dagoretti corner,Naivasha Road,Dagoretti corner Naivasha Road,-1.293505,36.753546
Dagoretti corner,Ngong Road,Dagoretti corner Ngong Road,-1.299088,36.761088
Dakar roundabout,Enterprise Rd,Dakar roundabout Enterprise Rd,-1.304104,36.839202
Dam Estate,Langata Rd,Dam Estate Langata Rd,-1.322555,36.804828
Dam Estate,Langata Road,Dam Estate Langata Road,-1.322555,36.804828
Dam Estate,Lang'ata Rd,Dam Estate Lang'ata Rd,-1.322555,36.804828
Dam Estate,Lang'ata Road,Dam Estate Lang'ata Road,-1.322555,36.804828
Daystar roundabout,Ngong Rd,Daystar roundabout Ngong Rd,-1.297692,36.802783
Daystar roundabout,Ngong Road,Daystar roundabout Ngong Road,-1.297692,36.802783
Delamere Farm,Nakuru Nairobi Rd,Delamere Farm Nakuru Nairobi Rd,-0.693615,36.419699
Deliverance church,Langata Rd,Deliverance church Langata Rd,-1.323511,36.79952
Deliverance church,Langata Road,Deliverance church Langata Road,-1.323511,36.79952
Deliverance church,Lang'ata Rd,Deliverance church Lang'ata Rd,-1.323511,36.79952
Deliverance church,Lang'ata Road,Deliverance church Lang'ata Road,-1.323511,36.79952
Deloitte,Waiyaki Way,Deloitte Waiyaki Way,-1.2629392,36.7648673
Dennis Pritt Milimani,Milimani Rd,Dennis Pritt Milimani Milimani Rd,-1.286846,36.800165
Desai Muranga,,Desai Muranga ,-1.272153,36.8275774
Desai Murang'a,,Desai Murang'a ,-1.272153,36.8275774
Dobie roundabout,Enterprise Rd,Dobie roundabout Enterprise Rd,-1.299422,36.836659
Dobie roundabout,Enterprise Road,Dobie roundabout Enterprise Road,-1.299422,36.836659
DOD roundabout,Argwings Kodhek Rd,DOD roundabout Argwings Kodhek Rd,-1.295204,36.802412
DOD roundabout,Argwings Kodhek Road,DOD roundabout Argwings Kodhek Road,-1.295204,36.802412
DOD roundabout,Argwings Kodhek,DOD roundabout Argwings Kodhek,-1.295204,36.802412
Donholm ,Jogoo Rd,Donholm  Jogoo Rd,-1.297518,36.886108
Donholm ,Jogoo Road,Donholm  Jogoo Road,-1.297518,36.886108
Donholm roundabout,Jogoo Rd,Donholm roundabout Jogoo Rd,-1.297518,36.886108
Donholm roundabout,Jogoo Road,Donholm roundabout Jogoo Road,-1.297518,36.886108
Doni roundabout,,Doni roundabout ,-1.297518,36.886108
Drive Inn, ,Drive Inn  ,-1.251113,36.871109
EABL,Thika Rd,EABL Thika Rd,-1.233029,36.87516
